a little	một chút
process	quá trình, sự tiến triển, quy trình; chế biến, gia công, xử lý
produce	sản xuất, chế tạo
producer	nhà sản xuất
product	sản phẩm
production	sự sản xuất, chế tạo
production test	sự thử trong sản xuất; sự thử tại nhà máy 
profession	nghề, nghề nghiệp
professional	nghề, nghề nghiệp; chuyên nghiệp
professor	giáo sư, giảng viên
profit	thuận lợi, lợi ích, lợi nhuận
program	chương trình; lên chương trình
programme	chương trình
programme	lịch tiến độ
progress	sự tiến tới, sự tiến triển; tiến bộ, tiến triển, phát triển
project	đề án, dự án, kế hoạch; dự kiến, kế hoạch
promise	hứa, lời hứa
promote	thăng chức, thăng cấp
promotion	sự thăng chức, sự thăng cấp
prompt	mau lẹ, nhanh chóng; xúi, giục, nhắc nhở
promptly	mau lẹ, ngay lập tức
pronounce	tuyên bố, thông báo, phát âm
pronunciation	sự phát âm
proof	chứng, chứng cớ, bằng chứng; sự kiểm chứng
proof load 	tải trọng thử 
proper	đúng, thích đáng, thích hợp
properly	một cách đúng đắn, một cách thích đáng
property	tài sản, của cải; đất đai, nhà cửa, bất động sản
property 	(sở hữu) tài sản
proportion	sự cân xứng, sự cân đối
proposal	sự đề nghị, đề xuất
propose	đề nghị, đề xuất, đưa ra
prospect	viễn cảnh, toàn cảnh; triển vọng, mong chờ
protect	bảo vệ, che chở
protection	sự bảo vệ, sự che chở
protection against corrosion	bảo vệ cốt thép chống rỉ
protective concrete cover	lớp bê tông bảo hộ
protest	sự phản đối, sự phản kháng; phản đối, phản kháng
proud	tự hào, kiêu hãnh
proudly	một cách tự hào, một cách hãnh diện
prove	chứng tỏ, chứng minh
provide	chuẩn bị đầy đủ, dự phòng; cung cấp, chu cấp
provided	với điều kiện là, miễn là
public	chung, công cộng; công chúng, nhân dân
publication	sự công bố; sự xuất bản
publicity	sự công khai, sự quảng cáo
publicly	công khai, công cộng
publicyhouse	quán rượu, tiệm rượu
publish	công bố, ban bố; xuất bản
publishing	công việc, nghề xuất bản
pull	lôi, kéo, giật; sự lôi kéo, sự giật
pull-out bond test	sự thử độ dính của bê tông với cốt thép bằng cách kéo cốt thép 
pulling test	sự thử kéo 
pulsating load 	tải trọng mạch động 
pumice concrete 	bê tông đá bọt 
pump concrete 	bê tông bơm 
pumping concrete	bê tông bơm
punch	đấm, thụi; quả đấm, cú thụi
punching test	sự thử đột lỗ 
punish	phạt, trừng phạt
punishment	sự trừng phạt, sự trừng trị
pupil	học sinh
purchase	sự mua, sự tậu; mua, sắm, tậu
pure	nguyên chất, tinh khiết, trong lành
purely	hoàn toàn, chỉ là
purple	tía, có màu tía; màu tía
purpose	mục đích, ý định
pursue	đuổi theo, đuổi bắt
push	xô đẩy; sự xô đẩy
push-pull test	sự thử kéo-đẩy 
put	đặt, để, cho vào
put  out	tắt, dập tắt
put in the reinforcement case	đặt vào trong khung cốt thép
putlog (putlock) 	thanh giàn giáo, thanh gióng
quaking concrete 	bê tông dẻo 
qualification	phẩm chất, năng lực; khả năng chuyên môn
qualified	đủ tư cách, điều kiện, khả năng
qualify	đủ khả năng, đủ tư cách, điều kiện
quality	chất lượng, phẩm chất
quality concrete 	bê tông chất lượng cao 
quality control 	kiểm soát chất lượng
quantity	lượng, số lượng
quarter	4, 15 phút
queen	nữ hoàng
quenching test	sự thử bằng cách tôi; mẫu thử độ thấm tôi
question	câu hỏi; hỏi, chất vấn
quick	nhanh
quick test	sự thử nhanh 
quickly	nhanh
quiescent load 	tải trọng tĩnh 
quiet	lặng, yên lặng, yên tĩnh
quietly	lặng, yên lặng, yên tĩnh
quit	thoát, thoát ra
quite	hoàn toàn, hầu hết
quote	trích dẫn
race	loài, chủng, giống; cuộc đua; đua
racing	cuộc đua
racking (raking) back 	đầu chờ xây
racking load 	tải trọng dao động 
radial load 	tải trọng hướng kính 
radio	sóng vô tuyến, radio
radio (-frequency) beam 	chùm tần số vô tuyến điện 
rail	đường ray
railing	lan can trên cầu
railing load	tải trọng lan can
railway	đường sắt
rain	mưa, cơn mưa; mưa
raise	nâng lên, đưa lên, ngẩng lên
rammed concrete 	bê tông đầm 
range	dãy, hàng, loại; phạm vi, trình độ
rank	hàng, dãy; sắp xếp thành hàng, dãy
rapid	nhanh, nhanh chóng
rapid test	sự thử nhanh 
rapidly	nhanh, nhanh chóng
rare	hiếm, ít
rarely	hiếm khi, ít khi
rate	tỷ lệ, tốc độ
rated load 	tải trọng danh nghĩa 
rather	thà.. còn hơn, thích... hơn
rather than	hơn là
ratio of non- prestressing tension reinforcement	tỷ lệ hàm lượng cốt thép thường trong mặt cắt
ratio of prestressing steel	tỷ lệ hàm lượng cốt thép dự ứng lực
raw	sống , thô, còn nguyên chất
reach	đến, đi đến, tới
react	tác động trở lại, phản ứng
reaction	sự phản ứng; sự phản tác dụng
reactivity test	sự thử hoạt tính 
read	đọc
reader	người đọc, độc giả
reading	sự đọc
ready	sẵn sàng
ready-mixed concrete 	bê tông trộn sẵn
real	thực, thực tế, có thật
realistic	hiện thực
reality	sự thật, thực tế, thực tại
realize	thực hiện, thực hành
really	thực, thực ra, thực sự
rear	phía sau; ở đằng sau, ở đằng sau
reason	lý do, lý lẽ
reasonable	có lý, hợp lý
reasonableness test	sự kiểm tra tính hợp lý 
reasonably	hợp lý
rebound number	số bật nảy trên súng thử bê tông
recall	gọi về, triệu hồi; nhặc lại, gợi lại
receipt	công thức; đơn thuốc
receive	nhận, lĩnh, thu
recent	gần đây, mới đây
recently	gần đây, mới đây
reception	sự nhận, sự tiếp nhận, sự đón tiếp
reception test	sự thử nghiểm thu 
reckon	tính, đếm
recognition	sự công nhận, sự thừa nhận
recognize	nhận ra, nhận diện; công nhận, thừa nhận
recommend	giới thiệu, tiến cử; đề nghị, khuyên bảo
record	bản ghi, sự ghi, bản thu, sự thu; thu, ghi chép
record drawings 	bản vẽ hoàn công (như as-built drawings)
recording	sự ghi, sự thu âm
recover	lấy lại, giành lại
red	đỏ; màu đỏ
reduce	giảm, giảm bớt
reduction	sự giảm giá, sự hạ giá
reedle vibrator	đầm dùi (để đầm bê tông)
refer to	xem, tham khảo; ám chỉ, nhắc đến
reference	sự tham khảo, hỏi ýe kiến
reflect	phản chiếu, phản hồi, phản ánh
reform	cải cách, cải thiện, cải tạo; sự cải cách, sự cải thiện, cải tạo
refractory concrete 	bê tông chịu nhiệt 
refrigerator	tủ lạnh
refusal	sự từ chối, sự khước từ
refuse	từ chối, khước từ
regard	nhìn, đánh giá; cái nhìn, sự quan tâm, sự chú ý
regarding	về, về việc, đối với
region	vùng, miền
regional	vùng, địa phương
register	đăng ký, ghi vào sổ; sổ, sổ sách, máy ghi
regret	đáng tiếc, hối tiếc; lòng thương tiếc, sự hối tiếc
regular	thường xuyên, đều đặn
regularly	đều đặn, thường xuyên
regulation	sự điều chỉnh, điều lệ, quy tắc
reinforced concrete	bê tông cốt thép thường
reinforced concrete 	bê tông cốt thép 
reinforced concrete beam	dầm bê tông cốt thép
reinforced concrete beam	dầm bê tông cốt thép
reinforced concrete beam 	dầm bê tông cốt thép 
reinforced concrete lintel 	lanh tô bê tông cốt thép
reinforcement group	nhóm cốt thép
reject	không chấp nhận, loại bỏ, bác bỏ
relate	kể lại, thuật lại; liên hệ, liên quan
related	có liên quan, có quan hệ với ai, cái gì
relation	mối quan hệ, sự liên quan, liên lạc
relationship	mối quan hệ, mối liên lạc
relative	có liên quan đến; người có họ, đại từ quan hệ
relatively	có liên quan, có quan hệ
relax	giải trí, nghỉ ngơi
relaxation test	sự thí nghiệm tính chùng (của vật liệu) 
relaxed	thanh thản, thoải mái
relaxing	làm giảm, bớt căng thẳng
release	làm nhẹ, bớt, thả, phóng thích, phát hành; sự giải thoát, thoát
relevant	thích hợp, có liên quan
relief	sự giảm nhẹ, sự làm cho khuây khỏa; sự trợ cấo; sự đền bù
religion	tôn giáo
religious	tôn giáo
rely on	tin vào, tin cậy, tin tưởng vào
remain	còn lại, vẫn còn như cũ
remaining	còn lại
remains	đồ thừa, cái còn lại
remark	sự nhận xét, phê bình, sự để ý, chú ý; nhận xét, phê bình, để ý, chú ý
remarkable	đáng chú ý, đáng để ý; khác thường
remarkably	đáng chú ý, đáng để ý; khác thường
remember	nhớ, nhớ lại
remind	nhắc nhở, gợi nhớ
remote	xa, xa xôi, xa cách
removable gate 	cửa tháo rời được
removal	viêc di chuyển, việc dọn nhà, dời đi
removal of the concrete cover	bóc lớp bê tông bảo hộ
remove	dời đi, di chuyển
renforced concrete bridge	cầu bê tông cột thép thường
rent	sự thuê mướn; cho thuê, thuê
rented	được thuê, được mướn
repair	sửa chữa, chỉnh tu; sự sửa chữa, sự chỉnh tu
repeat	nhắc lại, lặp lại
repeated	được nhắc lại, được lặp lại
repeated load test	sự thử bằng tải trọng lặp lại 
repeatedly	lặp đi lặp lại nhiều lần
replace	thay thế
reply	sự trả lời, sự hồi âm; trả lời, hồi âm
report	báo cáo, tường trình; bản báo cáo, bản tường trình
represent	miêu tả, hình dung; đại diện, thay mặt
representative	điều tiêu biểu, tượng trưng, mẫu; miêu tả, biểu hiện, đại diện, tượng trưng
reproduce	tái sản xuất
reputation	sự nổi tiếng, nổi danh
request	lời thỉnh cầu, lời đề nghị, yêu cầu; thỉnh cầu, đề nghị, yêu cầu
require	đòi hỏi, yêu cầu, quy định
requirement	nhu cầu, sự đòi hỏi; luật lệ, thủ tục
rescue	giải thoát, cứu nguy; sự giải thoát, sự cứu nguy
research	sự nghiên cứu
reservation	sự hạn chế, điều kiện hạn chế
reserve	dự trữ, để dành, đặt trước, đăng ký trước; sự dự trữ, sự để dành, sự đặt trước, sự đăng ký trước
resident	người sinh sống, trú ngụ, khách trọ; có nhà ở, cư trú, thường trú
resist	chống lại, phản đổi, kháng cự
resistance	sự chống lại, sự phản đối, sự kháng cự
resistive load 	tải thuần trở, tải ômic 
resolve	quyết định, kiên quyết
resonance test	sự thử bằng cộng hưởng 
resonant fatigue test	sự thử độ mỏi bằng cộng hưởng 
resort	kế sách, phương kế
resource	tài nguyên; kế sách, thủ đoạn
respect	sự kính trọng, sự lễ phép; tôn trọng, kính trọng, khâm phục
respond	hưởng ứng, phản ứng lại, trả lời
response	sự trả lời, câu trả lời, sự hưởng ứng, sự đáp lại
responsibility	trách nhiệm, sự chịu trách nhiệm
responsible	chịu trách nhiệm về, chịu trách nhiệm trước ai, gì
rest	sự nghỉ ngơi, lúc nghỉ; nghỉ, nghỉ ngơi
restaurant	nhà hàng ăn, hiệu ăn
restore	hoàn lại, trả lại; sửa chữa lại, phục hồi lại
restrained beam 	dầm ngàm hai đầu 
restrict	hạn chế, giới hạn
restricted	bị hạn chế, có giới hạn; vùng cấm
restriction	sự hạn chế, sự giới hạn
result	kết quả; bởi, do.. mà ra, kết quả là...
retain	giữ lại, nhớ được
retarder	phụ gia chậm hóa cứng bê tông
retempered concrete 	bê tông trộn lại 
retension (money)	tiền giữ lại (ở mỗi kỳ thanh toán, thường để giữ bảo hành) 
retire	rời bỏ, rút về; thôi, nghỉ việc, về hưu
retired	ẩn dật, hẻo lánh, đã về hưu, đã nghỉ việc
retirement	sự ẩn dật, nơi hẻo lánh, sự về hưu, sự nghỉ việc
return	trở lại, trở về; sự trở lại, sự trở về
reveal	bộc lộ, biểu lộ, tiết lộ; phát hiện, khám phá
reversal load 	tải trọng đổi dấu 
reverse	đảo, ngược lại; điều trái ngược, mặt trái
review	sự xem lại, sự xét lại; làm lại, xem xét lại
revise	đọc lại, xem lại, sửa lại, ôn lại
revision	sự xem lại, sự đọc lại, sự sửa lại, sự ôn lại
revolution	cuộc cách mạng
reward	sự thưởng, phần thưởng; thưởng, thưởng công
rhythm	nhịp điệu
ribbed plate	thép bản có gân
rice	gạo, thóc, cơm; cây lúa
rich	giàu, giàu có
rich concrete 	bê tông giàu, bê tông chất lượng cao 
rid	giải thoát
ride	đi, cưỡi ; sự đi, đường đi
rider	người cưỡi ngựa, người đi xe đạp
ridge beam 	đòn nóc 
ridiculous	buồn cười, lố bịch, lố lăng
riding	môn thể thao cưỡi ngựa, sự đi xe
right	thẳng, phải, tốt; ngay, đúng; điều thiện, điều phải, tốt, bên phải
rightly	đúng, phải, có lý
